Emoji Sentiment Dictionary
Emoji,Unicode codepoint,Neg [0…1],Neut [0…1],Pos [0…1],Unicode name
😐,0x1f610,0.553,0.282,0.165,neutral face
✊,0x270a,0.139,0.293,0.568,raised fist
😨,0x1f628,0.434,0.272,0.294,fearful face
😖,0x1f616,0.483,0.188,0.328,confounded face
💤,0x1f4a4,0.144,0.341,0.515,sleeping symbol
💓,0x1f493,0.061,0.214,0.725,beating heart
👎,0x1f44e,0.494,0.199,0.307,thumbs down sign
💦,0x1f4a6,0.141,0.247,0.612,splashing sweat symbol
✔,0x2714,0.127,0.476,0.397,heavy check mark
😷,0x1f637,0.474,0.221,0.305,face with medical mask
⚡,0x26a1,0.044,0.735,0.221,high voltage sign
🙋,0x1f64b,0.130,0.255,0.615,happy person raising one hand
🎄,0x1f384,0.067,0.335,0.598,christmas tree
💩,0x1f4a9,0.409,0.297,0.293,pile of poo
🎵,0x1f3b5,0.106,0.288,0.606,musical note
➡,0x27a1,0.013,0.827,0.160,black rightwards arrow
😛,0x1f61b,0.085,0.229,0.686,face with stuck-out tongue
😬,0x1f62c,0.267,0.272,0.461,grimacing face
👯,0x1f46f,0.117,0.327,0.556,woman with bunny ears
💎,0x1f48e,0.057,0.325,0.618,gem stone
🌿,0x1f33f,0.009,0.597,0.393,herb
🎂,0x1f382,0.083,0.221,0.696,birthday cake
🌟,0x1f31f,0.059,0.554,0.386,glowing star
🔮,0x1f52e,0.035,0.663,0.302,crystal ball
❗,0x2757,0.159,0.582,0.259,heavy exclamation mark symbol
👫,0x1f46b,0.220,0.305,0.475,man and woman holding hands
🏆,0x1f3c6,0.036,0.203,0.761,trophy
✖,0x2716,0.046,0.597,0.357,heavy multiplication x
☝,0x261d,0.144,0.402,0.454,white up pointing index
😙,0x1f619,0.021,0.180,0.799,kissing face with smiling eyes
⛄,0x26c4,0.077,0.325,0.598,snowman without snow
👅,0x1f445,0.124,0.290,0.585,tongue
♪,0x266a,0.083,0.301,0.617,eighth note
🍂,0x1f342,0.036,0.380,0.583,fallen leaf
💏,0x1f48f,0.181,0.250,0.569,kiss
🔪,0x1f52a,0.210,0.511,0.280,hocho
🌴,0x1f334,0.077,0.320,0.602,palm tree
👈,0x1f448,0.085,0.407,0.508,white left pointing backhand index
🌹,0x1f339,0.023,0.354,0.623,rose
🙆,0x1f646,0.092,0.316,0.592,face with ok gesture
➜,0x279c,0.052,0.734,0.214,heavy round-tipped rightwards arrow
👻,0x1f47b,0.170,0.433,0.398,ghost
💰,0x1f4b0,0.158,0.433,0.409,money bag
🍻,0x1f37b,0.107,0.274,0.619,clinking beer mugs
🙅,0x1f645,0.458,0.286,0.256,face with no good gesture
🌞,0x1f31e,0.024,0.394,0.582,sun with face
🍁,0x1f341,0.037,0.445,0.518,maple leaf
⭐,0x2b50,0.037,0.346,0.617,white medium star
▪,0x25aa,0.099,0.605,0.296,black small square
🎀,0x1f380,0.044,0.283,0.673,ribbon
━,0x2501,0.094,0.635,0.270,box drawings heavy horizontal
☷,0x2637,0.019,0.898,0.083,trigram for earth
🐷,0x1f437,0.077,0.477,0.445,pig face
🙉,0x1f649,0.176,0.314,0.510,hear-no-evil monkey
🌺,0x1f33a,0.020,0.412,0.569,hibiscus
💅,0x1f485,0.184,0.243,0.572,nail polish
🐶,0x1f436,0.086,0.252,0.662,dog face
🌚,0x1f31a,0.159,0.219,0.623,new moon with face
👽,0x1f47d,0.094,0.497,0.409,extraterrestrial alien
🎤,0x1f3a4,0.122,0.279,0.599,microphone
👭,0x1f46d,0.143,0.252,0.605,two women holding hands
🎧,0x1f3a7,0.131,0.324,0.545,headphone
👆,0x1f446,0.121,0.433,0.447,white up pointing backhand index
🍸,0x1f378,0.092,0.277,0.631,cocktail glass
🍷,0x1f377,0.057,0.493,0.450,wine glass
®,0xae,0.071,0.579,0.350,registered sign
🍉,0x1f349,0.079,0.245,0.676,watermelon
😇,0x1f607,0.072,0.268,0.659,smiling face with halo
☑,0x2611,0.022,0.855,0.123,ballot box with check
🏃,0x1f3c3,0.094,0.406,0.500,runner
😿,0x1f63f,0.577,0.219,0.204,crying cat face
│,0x2502,0.007,0.642,0.350,box drawings light vertical
💣,0x1f4a3,0.306,0.381,0.313,bomb
🍺,0x1f37a,0.067,0.373,0.560,beer mug
▶,0x25b6,0.060,0.672,0.269,black right-pointing triangle
😲,0x1f632,0.386,0.295,0.318,astonished face
🎸,0x1f3b8,0.016,0.453,0.531,guitar
🍹,0x1f379,0.048,0.246,0.706,tropical drink
💫,0x1f4ab,0.040,0.419,0.540,dizzy symbol
📚,0x1f4da,0.189,0.287,0.525,books
😶,0x1f636,0.425,0.292,0.283,face without mouth
🌷,0x1f337,0.008,0.445,0.546,tulip
💝,0x1f49d,0.076,0.203,0.720,heart with ribbon
💨,0x1f4a8,0.110,0.398,0.492,dash symbol
🏈,0x1f3c8,0.068,0.333,0.598,american football
💍,0x1f48d,0.148,0.226,0.626,ring
☔,0x2614,0.193,0.325,0.482,umbrella with rain drops
👸,0x1f478,0.061,0.272,0.667,princess
🇪,0x1f1ea,0.027,0.330,0.643,regional indicator symbol letter e
░,0x2591,0.234,0.577,0.189,light shade
🍩,0x1f369,0.145,0.327,0.527,doughnut
👾,0x1f47e,0.019,0.602,0.380,alien monster
☁,0x2601,0.140,0.411,0.449,cloud
🌻,0x1f33b,0.019,0.393,0.589,sunflower
😵,0x1f635,0.321,0.274,0.406,dizzy face
📒,0x1f4d2,0.010,0.943,0.048,ledger
↿,0x21bf,0.010,0.333,0.657,upwards harpoon with barb leftwards
🐯,0x1f42f,0.049,0.427,0.524,tiger face
👼,0x1f47c,0.176,0.314,0.510,baby angel
🍔,0x1f354,0.168,0.386,0.446,hamburger
😸,0x1f638,0.120,0.350,0.530,grinning cat face with smiling eyes
👶,0x1f476,0.141,0.283,0.576,baby
↾,0x21be,0.010,0.333,0.657,upwards harpoon with barb rightwards
💐,0x1f490,0.041,0.184,0.776,bouquet
🌊,0x1f30a,0.092,0.316,0.592,water wave
🍦,0x1f366,0.143,0.255,0.602,soft ice cream
🍓,0x1f353,0.041,0.247,0.711,strawberry
👇,0x1f447,0.144,0.464,0.392,white down pointing backhand index
💆,0x1f486,0.263,0.253,0.484,face massage
🍴,0x1f374,0.053,0.358,0.589,fork and knife
😧,0x1f627,0.389,0.284,0.326,anguished face
🇸,0x1f1f8,0.096,0.298,0.606,regional indicator symbol letter s
😮,0x1f62e,0.183,0.366,0.452,face with open mouth
▓,0x2593,0.032,0.925,0.043,dark shade
🚫,0x1f6ab,0.538,0.363,0.099,no entry sign
😽,0x1f63d,0.132,0.165,0.703,kissing cat face with closed eyes
🌈,0x1f308,0.066,0.352,0.582,rainbow
🙀,0x1f640,0.165,0.341,0.495,weary cat face
⚠,0x26a0,0.187,0.692,0.121,warning sign
🎮,0x1f3ae,0.101,0.371,0.528,video game
╯,0x256f,0.230,0.552,0.218,box drawings light arc up and left
🍆,0x1f346,0.080,0.437,0.483,aubergine
🍰,0x1f370,0.161,0.230,0.609,shortcake
✓,0x2713,0.115,0.483,0.402,check mark
👐,0x1f450,0.395,0.233,0.372,open hands sign
🙇,0x1f647,0.291,0.279,0.430,person bowing deeply
🍟,0x1f35f,0.174,0.349,0.477,french fries
🍌,0x1f34c,0.129,0.306,0.565,banana
💑,0x1f491,0.071,0.200,0.729,couple with heart
👬,0x1f46c,0.353,0.353,0.294,two men holding hands
🐣,0x1f423,0.155,0.214,0.631,hatching chick
🎃,0x1f383,0.083,0.238,0.679,jack-o-lantern
▬,0x25ac,0.012,0.512,0.476,black rectangle
￼,0xfffc,0.536,0.405,0.060,object replacement character
😟,0x1f61f,0.349,0.229,0.422,worried face
🐾,0x1f43e,0.111,0.173,0.716,paw prints
🎓,0x1f393,0.100,0.238,0.663,graduation cap
🏊,0x1f3ca,0.038,0.350,0.613,swimmer
🍫,0x1f36b,0.291,0.266,0.443,chocolate bar
📷,0x1f4f7,0.101,0.367,0.532,camera
👄,0x1f444,0.077,0.372,0.551,mouth
🌼,0x1f33c,0.026,0.169,0.805,blossom
🚶,0x1f6b6,0.377,0.390,0.234,pedestrian
🐱,0x1f431,0.145,0.197,0.658,cat face
║,0x2551,0.013,0.829,0.158,box drawings double vertical
🐸,0x1f438,0.333,0.413,0.253,frog face
🇺,0x1f1fa,0.122,0.216,0.662,regional indicator symbol letter u
👿,0x1f47f,0.658,0.219,0.123,imp
🚬,0x1f6ac,0.123,0.233,0.644,smoking symbol
✿,0x273f,0.041,0.534,0.425,black florette
📖,0x1f4d6,0.268,0.296,0.437,open book
🐒,0x1f412,0.028,0.423,0.549,monkey
🌍,0x1f30d,0.085,0.239,0.676,earth globe europe-africa
┊,0x250a,0.014,0.014,0.972,box drawings light quadruple dash vertical
🐥,0x1f425,0.071,0.271,0.657,front-facing baby chick
🌀,0x1f300,0.159,0.580,0.261,cyclone
🐼,0x1f43c,0.072,0.594,0.333,panda face
🎥,0x1f3a5,0.130,0.449,0.420,movie camera
💄,0x1f484,0.101,0.362,0.536,lipstick
💸,0x1f4b8,0.246,0.348,0.406,money with wings
⛔,0x26d4,0.088,0.338,0.574,no entry
●,0x25cf,0.132,0.559,0.309,black circle
🏀,0x1f3c0,0.209,0.328,0.463,basketball and hoop
💉,0x1f489,0.179,0.284,0.537,syringe
💟,0x1f49f,0.061,0.197,0.742,heart decoration
🚗,0x1f697,0.138,0.492,0.369,automobile
😯,0x1f62f,0.262,0.354,0.385,hushed face
📝,0x1f4dd,0.138,0.492,0.369,memo
═,0x2550,0.015,0.954,0.031,box drawings double horizontal
♦,0x2666,0.109,0.328,0.563,black diamond suit
💭,0x1f4ad,0.175,0.444,0.381,thought balloon
🌙,0x1f319,0.066,0.279,0.656,crescent moon
🐟,0x1f41f,0.049,0.213,0.738,fish
👣,0x1f463,0.115,0.426,0.459,footprints
☞,0x261e,0.016,0.852,0.131,white right pointing index
✂,0x2702,0.574,0.311,0.115,black scissors
🗿,0x1f5ff,0.098,0.361,0.541,moyai
🍝,0x1f35d,0.283,0.317,0.400,spaghetti
👪,0x1f46a,0.417,0.183,0.400,family
🍭,0x1f36d,0.167,0.367,0.467,lollipop
🌃,0x1f303,0.068,0.475,0.458,night with stars
❌,0x274c,0.254,0.220,0.525,cross mark
🐰,0x1f430,0.086,0.241,0.672,rabbit face
💊,0x1f48a,0.155,0.259,0.586,pill
🚨,0x1f6a8,0.121,0.121,0.759,police cars revolving light
😦,0x1f626,0.544,0.281,0.175,frowning face with open mouth
🍪,0x1f36a,0.193,0.298,0.509,cookie
🍣,0x1f363,0.446,0.339,0.214,sushi
╭,0x256d,0.071,0.696,0.232,box drawings light arc down and right
✧,0x2727,0.036,0.607,0.357,white four pointed star
🎆,0x1f386,0.055,0.182,0.764,fireworks
╮,0x256e,0.109,0.655,0.236,box drawings light arc down and left
🎎,0x1f38e,0.019,0.056,0.926,japanese dolls
🇩,0x1f1e9,0.037,0.315,0.648,regional indicator symbol letter d
✅,0x2705,0.074,0.444,0.481,white heavy check mark
👹,0x1f479,0.269,0.404,0.327,japanese ogre
📱,0x1f4f1,0.096,0.500,0.404,mobile phone
🙍,0x1f64d,0.577,0.173,0.250,person frowning
🍑,0x1f351,0.250,0.250,0.500,peach
🎼,0x1f3bc,0.058,0.558,0.385,musical score
🔊,0x1f50a,0.096,0.404,0.500,speaker with three sound waves
🌌,0x1f30c,0.120,0.240,0.640,milky way
🍎,0x1f34e,0.140,0.400,0.460,red apple
🐻,0x1f43b,0.140,0.280,0.580,bear face
─,0x2500,0.020,0.820,0.160,box drawings light horizontal
╰,0x2570,0.160,0.740,0.100,box drawings light arc up and right
💇,0x1f487,0.163,0.347,0.490,haircut
♬,0x266c,0.102,0.551,0.347,beamed sixteenth notes
♚,0x265a,0.020,0.918,0.061,black chess king
🔴,0x1f534,0.042,0.521,0.438,large red circle
🍱,0x1f371,0.542,0.229,0.229,bento box
🍊,0x1f34a,0.146,0.292,0.563,tangerine
🍒,0x1f352,0.146,0.396,0.458,cherries
🐭,0x1f42d,0.021,0.271,0.708,mouse face
👟,0x1f45f,0.125,0.333,0.542,athletic shoe
🌎,0x1f30e,0.128,0.426,0.447,earth globe americas
🍍,0x1f34d,0.170,0.191,0.638,pineapple
🐮,0x1f42e,0.065,0.283,0.652,cow face
📲,0x1f4f2,0.174,0.413,0.413,mobile phone with rightwards arrow at left
☼,0x263c,0.065,0.674,0.261,white sun with rays
🌅,0x1f305,0.156,0.333,0.511,sunrise
🇷,0x1f1f7,0.044,0.244,0.711,regional indicator symbol letter r
👠,0x1f460,0.156,0.333,0.511,high-heeled shoe
🌽,0x1f33d,0.133,0.289,0.578,ear of maize
💧,0x1f4a7,0.477,0.205,0.318,droplet
❓,0x2753,0.182,0.568,0.250,black question mark ornament
🍬,0x1f36c,0.205,0.227,0.568,candy
😺,0x1f63a,0.209,0.186,0.605,smiling cat face with open mouth
🐴,0x1f434,0.209,0.512,0.279,horse face
🚀,0x1f680,0.070,0.372,0.558,rocket
¦,0xa6,0.186,0.047,0.767,broken bar
💢,0x1f4a2,0.163,0.442,0.395,anger symbol
🎬,0x1f3ac,0.070,0.581,0.349,clapper board
🍧,0x1f367,0.233,0.233,0.535,shaved ice
🍜,0x1f35c,0.233,0.140,0.628,steaming bowl
🐏,0x1f40f,0.070,0.302,0.628,ram
🐘,0x1f418,0.233,0.512,0.256,elephant
👧,0x1f467,0.256,0.349,0.395,girl
⠀,0x2800,0.163,0.628,0.209,braille pattern blank
🏄,0x1f3c4,0.071,0.333,0.595,surfer
➤,0x27a4,0.024,0.643,0.333,black rightwards arrowhead
⬆,0x2b06,0.048,0.619,0.333,upwards black arrow
🍋,0x1f34b,0.171,0.415,0.415,lemon
🆗,0x1f197,0.171,0.122,0.707,squared ok
⚪,0x26aa,0.025,0.500,0.475,medium white circle
📺,0x1f4fa,0.100,0.425,0.475,television
🍅,0x1f345,0.250,0.150,0.600,tomato
⛅,0x26c5,0.125,0.300,0.575,sun behind cloud
🐢,0x1f422,0.175,0.450,0.375,turtle
👙,0x1f459,0.100,0.300,0.600,bikini
🏡,0x1f3e1,0.154,0.256,0.590,house with garden
🌾,0x1f33e,0.154,0.154,0.692,ear of rice
◉,0x25c9,0.026,0.692,0.282,fisheye
✏,0x270f,0.105,0.447,0.447,pencil
🐬,0x1f42c,0.079,0.421,0.500,dolphin
🍤,0x1f364,0.184,0.579,0.237,fried shrimp
🇹,0x1f1f9,0.026,0.368,0.605,regional indicator symbol letter t
♣,0x2663,0.132,0.395,0.474,black club suit
🐝,0x1f41d,0.158,0.474,0.368,honeybee
🌝,0x1f31d,0.162,0.486,0.351,full moon with face
🇮,0x1f1ee,0.027,0.351,0.622,regional indicator symbol letter i
🔋,0x1f50b,0.622,0.243,0.135,battery
🐍,0x1f40d,0.108,0.432,0.459,snake
♔,0x2654,0.027,0.405,0.568,white chess king
🍳,0x1f373,0.389,0.194,0.417,cooking
🔵,0x1f535,0.139,0.417,0.444,large blue circle
😾,0x1f63e,0.583,0.167,0.250,pouting cat face
🌕,0x1f315,0.111,0.222,0.667,full moon symbol
🐨,0x1f428,0.139,0.278,0.583,koala
🔐,0x1f510,0.194,0.278,0.528,closed lock with key
💿,0x1f4bf,0.028,0.333,0.639,optical disc
❁,0x2741,0.028,0.889,0.083,eight petalled outlined black florette
🌳,0x1f333,0.086,0.343,0.571,deciduous tree
👰,0x1f470,0.114,0.286,0.600,bride with veil
❀,0x2740,0.029,0.543,0.429,white florette
⚓,0x2693,0.086,0.257,0.657,anchor
🚴,0x1f6b4,0.029,0.286,0.686,bicyclist
▀,0x2580,0.314,0.514,0.171,upper half block
👗,0x1f457,0.176,0.412,0.412,dress
➕,0x2795,0.147,0.176,0.676,heavy plus sign
💬,0x1f4ac,0.152,0.333,0.515,speech balloon
▒,0x2592,0.091,0.848,0.061,medium shade
🔜,0x1f51c,0.182,0.364,0.455,soon with rightwards arrow above
🍨,0x1f368,0.273,0.242,0.485,ice cream
💲,0x1f4b2,0.030,0.697,0.273,heavy dollar sign
⛽,0x26fd,0.061,0.727,0.212,fuel pump
🍙,0x1f359,0.188,0.344,0.469,rice ball
🍗,0x1f357,0.313,0.313,0.375,poultry leg
🍲,0x1f372,0.250,0.375,0.375,pot of food
🍥,0x1f365,0.719,0.156,0.125,fish cake with swirl design
▸,0x25b8,0.031,0.719,0.250,black right-pointing small triangle
♛,0x265b,0.156,0.500,0.344,black chess queen
😼,0x1f63c,0.194,0.258,0.548,cat face with wry smile
🐙,0x1f419,0.097,0.419,0.484,octopus
👨,0x1f468,0.097,0.290,0.613,man
🍚,0x1f35a,0.226,0.097,0.677,cooked rice
🍖,0x1f356,0.258,0.355,0.387,meat on bone
♨,0x2668,0.032,0.065,0.903,hot springs
🎹,0x1f3b9,0.032,0.581,0.387,musical keyboard
♕,0x2655,0.032,0.548,0.419,white chess queen
▃,0x2583,0.032,0.032,0.935,lower three eighths block
🚘,0x1f698,0.300,0.333,0.367,oncoming automobile
🍏,0x1f34f,0.267,0.400,0.333,green apple
👩,0x1f469,0.333,0.267,0.400,woman
👦,0x1f466,0.200,0.467,0.333,boy
🇬,0x1f1ec,0.100,0.533,0.367,regional indicator symbol letter g
🇧,0x1f1e7,0.100,0.533,0.367,regional indicator symbol letter b
☠,0x2620,0.267,0.500,0.233,skull and crossbones
🐠,0x1f420,0.172,0.241,0.586,tropical fish
🚹,0x1f6b9,0.069,0.172,0.759,mens symbol
💵,0x1f4b5,0.138,0.345,0.517,banknote with dollar sign
✰,0x2730,0.034,0.138,0.828,shadowed white star
╠,0x2560,0.034,0.724,0.241,box drawings double vertical and right
👛,0x1f45b,0.179,0.286,0.536,purse
🚙,0x1f699,0.214,0.536,0.250,recreational vehicle
🌱,0x1f331,0.036,0.357,0.607,seedling
💻,0x1f4bb,0.071,0.607,0.321,personal computer
🌏,0x1f30f,0.143,0.393,0.464,earth globe asia-australia
▄,0x2584,0.321,0.429,0.250,lower half block
👓,0x1f453,0.037,0.630,0.333,eyeglasses
◄,0x25c4,0.037,0.704,0.259,black left-pointing pointer
⚾,0x26be,0.370,0.296,0.333,baseball
🌲,0x1f332,0.115,0.385,0.500,evergreen tree
👴,0x1f474,0.231,0.308,0.462,older man
🏠,0x1f3e0,0.077,0.346,0.577,house building
🍇,0x1f347,0.231,0.269,0.500,grapes
🍘,0x1f358,0.231,0.154,0.615,rice cracker
🍛,0x1f35b,0.346,0.269,0.385,curry and rice
🐇,0x1f407,0.192,0.385,0.423,rabbit
🔞,0x1f51e,0.269,0.500,0.231,no one under eighteen symbol
👵,0x1f475,0.231,0.115,0.654,older woman
◀,0x25c0,0.038,0.654,0.308,black left-pointing triangle
🔙,0x1f519,0.115,0.577,0.308,back with leftwards arrow above
🌵,0x1f335,0.269,0.269,0.462,cactus
🐽,0x1f43d,0.240,0.400,0.360,pig nose
🍮,0x1f36e,0.440,0.240,0.320,custard
🎇,0x1f387,0.080,0.160,0.760,firework sparkler
🐎,0x1f40e,0.120,0.360,0.520,horse
➔,0x2794,0.160,0.800,0.040,heavy wide-headed rightwards arrow
💶,0x1f4b6,0.160,0.680,0.160,banknote with euro sign
🐤,0x1f424,0.080,0.320,0.600,baby chick
╩,0x2569,0.040,0.720,0.240,box drawings double up and horizontal
🛀,0x1f6c0,0.292,0.292,0.417,bath
🌑,0x1f311,0.125,0.292,0.583,new moon symbol
🚲,0x1f6b2,0.083,0.458,0.458,bicycle
🐑,0x1f411,0.292,0.583,0.125,sheep
🏁,0x1f3c1,0.042,0.417,0.542,chequered flag
🍞,0x1f35e,0.292,0.375,0.333,bread
🎾,0x1f3be,0.125,0.208,0.667,tennis racquet and ball
╚,0x255a,0.042,0.625,0.333,box drawings double up and right
🈹,0x1f239,0.083,0.542,0.375,squared cjk unified ideograph-5272
🐳,0x1f433,0.217,0.435,0.348,spouting whale
👮,0x1f46e,0.478,0.391,0.130,police officer
☹,0x2639,0.652,0.217,0.130,white frowning face
🐵,0x1f435,0.087,0.348,0.565,monkey face
✪,0x272a,0.043,0.609,0.348,circled white star
◕,0x25d5,0.043,0.478,0.478,circle with all but upper left quadrant black
🗼,0x1f5fc,0.087,0.304,0.609,tokyo tower
▐,0x2590,0.217,0.696,0.087,right half block
♠,0x2660,0.043,0.609,0.348,black spade suit
┳,0x2533,0.478,0.391,0.130,box drawings heavy down and horizontal
👺,0x1f47a,0.409,0.364,0.227,japanese goblin
🐚,0x1f41a,0.091,0.591,0.318,spiral shell
👂,0x1f442,0.364,0.409,0.227,ear
🗽,0x1f5fd,0.091,0.500,0.409,statue of liberty
🍵,0x1f375,0.182,0.273,0.545,teacup without handle
🆒,0x1f192,0.045,0.545,0.409,squared cool
🍯,0x1f36f,0.364,0.227,0.409,honey pot
🐺,0x1f43a,0.136,0.500,0.364,wolf face
⇨,0x21e8,0.045,0.455,0.500,rightwards white arrow
➨,0x27a8,0.136,0.591,0.273,heavy concave-pointed black rightwards arrow
🌓,0x1f313,0.045,0.318,0.636,first quarter moon symbol
🔒,0x1f512,0.273,0.273,0.455,lock
╬,0x256c,0.318,0.500,0.182,box drawings double vertical and horizontal
👳,0x1f473,0.143,0.095,0.762,man with turban
🌂,0x1f302,0.143,0.476,0.381,closed umbrella
🚌,0x1f68c,0.143,0.524,0.333,bus
♩,0x2669,0.048,0.381,0.571,quarter note
🍡,0x1f361,0.286,0.476,0.238,dango
❥,0x2765,0.048,0.667,0.286,rotated heavy black heart bullet
🎡,0x1f3a1,0.095,0.524,0.381,ferris wheel
💌,0x1f48c,0.150,0.200,0.650,love letter
🐩,0x1f429,0.050,0.550,0.400,poodle
🌜,0x1f31c,0.050,0.400,0.550,last quarter moon with face
⌚,0x231a,0.150,0.500,0.350,watch
